GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	SLIMMED FROM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A1D6E0S8-1	WAK17	located_in	GO:0005886	GO:0005886	plasma membrane	ECO:0000314	IDA	PMID:36577386		4577	UniProt		C
UniProtKB	A0A1D6E0S8-2	WAK17	located_in	GO:0005886	GO:0009897	external side of plasma membrane	ECO:0000314	IDA	PMID:36577386		4577	UniProt		C
UniProtKB	A0A1D6F5N5	BAK6	located_in	GO:0005886	GO:0009897	external side of plasma membrane	ECO:0000314	IDA	PMID:36577386		4577	UniProt		C
UniProtKB	A0A1D6GNR3	KWL1	located_in	GO:0005576	GO:0048046	apoplast	ECO:0000314	IDA	PMID:30651637		4577	UniProt		C
UniProtKB	A0A1D6IEG9	CRP1	located_in	GO:0009507	GO:0009570	chloroplast stroma	ECO:0000314	IDA	PMID:10228173		4577	UniProt		C
UniProtKB	A0A1D6KL43	PSA2	located_in	GO:0009579	GO:0031977	thylakoid lumen	ECO:0000314	IDA	PMID:25228689		4577	UniProt		C
UniProtKB	A0A1D6LAB7	RH3B	located_in	GO:0009507	GO:0009570	chloroplast stroma	ECO:0000314	IDA	PMID:22576849		4577	UniProt		C
UniProtKB	A0A1D6LAG9	CPS1	located_in	GO:0009507	GO:0009507	chloroplast	ECO:0000314	IDA	PMID:12271069		4577	UniProt		C
UniProtKB	A0A1D6LTV0	TPS26	located_in	GO:0009507	GO:0009507	chloroplast	ECO:0000314	IDA	PMID:18218975		4577	UniProt		C
UniProtKB	A0A1D6N272	GRMZM2G124911	located_in	GO:0005739	GO:0005739	mitochondrion	ECO:0000314	IDA	PMID:22426856		4577	UniProt		C
UniProtKB	A1XCI1	LOX6	located_in	GO:0009507	GO:0009570	chloroplast stroma	ECO:0000314	IDA	PMID:17922288		4577	AgBase		C
UniProtKB	A6YSL1	RNC1	located_in	GO:0009507	GO:0009570	chloroplast stroma	ECO:0000314	IDA	PMID:17693527		4577	UniProt		C
UniProtKB	A7XN92	CFM3	located_in	GO:0005739	GO:0005739	mitochondrion	ECO:0000314	IDA	PMID:18799595		4577	UniProt		C
UniProtKB	A7XN92	CFM3	located_in	GO:0009507	GO:0009507	chloroplast	ECO:0000314	IDA	PMID:18799595		4577	UniProt		C
UniProtKB	B0KZ40	PSY3	located_in	GO:0009507	GO:0010287	plastoglobule	ECO:0000314	IDA	PMID:23023170		4577	UniProt		C
UniProtKB	B2LXS7	WHY1	located_in	GO:0009507	GO:0009570	chloroplast stroma	ECO:0000314	IDA	PMID:18676978		4577	UniProt		C
UniProtKB	B4F8I5	COAC2	located_in	GO:0005739	GO:0005743	mitochondrial inner membrane	ECO:0000314	IDA	PMID:23590975		4577	UniProt		C
UniProtKB	B4F8I5	COAC2	located_in	GO:0016020	GO:0005743	mitochondrial inner membrane	ECO:0000314	IDA	PMID:23590975		4577	UniProt		C
UniProtKB	B4F8Z1	ATP4	located_in	GO:0009507	GO:0009570	chloroplast stroma	ECO:0000314	IDA	PMID:22708543		4577	UniProt		C
UniProtKB	B4FG96	LA1	located_in	GO:0005634	GO:0005634	nucleus	ECO:0000314	IDA	PMID:24089437		4577	UniProt		C
UniProtKB	B4FG96	LA1	located_in	GO:0005886	GO:0005886	plasma membrane	ECO:0000314	IDA	PMID:24089437		4577	UniProt		C
UniProtKB	B4FIJ0	GRMZM2G118515	part_of	GO:0005739	GO:0005739	mitochondrion	ECO:0000314	IDA	PMID:22426856		4577	CACAO		C
UniProtKB	B4FNK8	CM1	located_in	GO:0009507	GO:0009507	chloroplast	ECO:0000314	IDA	PMID:21976020		4577	UniProt		C
UniProtKB	B4FQV3	100282745	located_in	GO:0005634	GO:0005634	nucleus	ECO:0000269	EXP	PMID:25888589		4577	PHI-base		C
UniProtKB	B4FQV3	100282745	located_in	GO:0005737	GO:0005737	cytoplasm	ECO:0000269	EXP	PMID:25888589		4577	PHI-base		C
UniProtKB	B4FRJ1	100272900	part_of	GO:0005618	GO:0009505	plant-type cell wall	ECO:0000314	IDA	PMID:21889053		4577	CACAO		C
UniProtKB	B4FSG1	PSA3	located_in	GO:0009579	GO:0098572	stromal side of plastid thylakoid membrane	ECO:0000314	IDA	PMID:28522455		4577	UniProt		C
UniProtKB	B4FSG1	PSA3	located_in	GO:0009536	GO:0098572	stromal side of plastid thylakoid membrane	ECO:0000314	IDA	PMID:28522455		4577	UniProt		C
UniProtKB	B4FSG1	PSA3	located_in	GO:0016020	GO:0098572	stromal side of plastid thylakoid membrane	ECO:0000314	IDA	PMID:28522455		4577	UniProt		C
UniProtKB	B4FUP5	CM2	located_in	GO:0005829	GO:0005829	cytosol	ECO:0000314	IDA	PMID:21976020		4577	UniProt		C
