GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	SLIMMED FROM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A060D764	GRF1	enables	GO:0005515	GO:0005515	protein binding	ECO:0000353	IPI	PMID:24854713	UniProtKB:A5HEH4	4577	UniProt		F
UniProtKB	A0A096SRM5	UGT708A6	enables	GO:0016740	GO:0035251	UDP-glucosyltransferase activity	ECO:0000314	IDA	PMID:24045947		4577	UniProt		F
UniProtKB	A0A096SRM5	UGT708A6	enables	GO:0016740	GO:0047243	flavanone 7-O-beta-glucosyltransferase activity	ECO:0000314	IDA	PMID:24045947		4577	UniProt		F
UniProtKB	A0A1D6EFT8	EDS	enables	GO:0003824	GO:0010333	terpene synthase activity	ECO:0000314	IDA	PMID:29570233		4577	UniProt		F
UniProtKB	A0A1D6F9Y9	CYP92C6	enables	GO:0003824	GO:0010333	terpene synthase activity	ECO:0000314	IDA	PMID:27662898		4577	UniProt		F
UniProtKB	A0A1D6GNR3	KWL1	enables	GO:0030234	GO:0004857	enzyme inhibitor activity	ECO:0000314	IDA	PMID:30651637		4577	PHI-base	has_input(UniProtKB:A0A0D1DWQ2)	F
UniProtKB	A0A1D6GQ67	CYP71Z16	enables	GO:0003824	GO:0010333	terpene synthase activity	ECO:0000314	IDA	PMID:29475898		4577	UniProt		F
UniProtKB	A0A1D6GQ67	CYP71Z16	enables	GO:0003824	GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	ECO:0000314	IDA	PMID:29475898		4577	UniProt		F
UniProtKB	A0A1D6HSP4	CYP92C5	enables	GO:0003824	GO:0010333	terpene synthase activity	ECO:0000314	IDA	PMID:27662898		4577	UniProt		F
UniProtKB	A0A1D6IEG9	CRP1	enables	GO:0003723	GO:0003729	mRNA binding	ECO:0000314	IDA	PMID:23735295		4577	UniProt		F
UniProtKB	A0A1D6JZU3	103634525	enables	GO:0004518	GO:0004540	RNA nuclease activity	ECO:0000314	IDA	PMID:19682768		4577	AgBase		F
UniProtKB	A0A1D6K6U5	CPPS2	enables	GO:0003824	GO:0010333	terpene synthase activity	ECO:0000314	IDA	PMID:16307364		4577	UniProt		F
UniProtKB	A0A1D6K6U5	CPPS2	enables	GO:0003824	GO:0010333	terpene synthase activity	ECO:0000314	IDA	PMID:29475898		4577	UniProt		F
UniProtKB	A0A1D6K6U5	CPPS2	enables	GO:0003824	GO:0016853	isomerase activity	ECO:0000315	IMP	PMID:16307364		4577	UniProt		F
UniProtKB	A0A1D6KL43	PSA2	enables	GO:0003824	GO:0047134	protein-disulfide reductase (NAD(P)) activity	ECO:0000314	IDA	PMID:25228689		4577	UniProt		F
UniProtKB	A0A1D6KUI6	KSL4	enables	GO:0003824	GO:0010333	terpene synthase activity	ECO:0000314	IDA	PMID:29475898		4577	UniProt		F
UniProtKB	A0A1D6KUI6	KSL4	enables	GO:0003824	GO:0016829	lyase activity	ECO:0000314	IDA	PMID:29475898		4577	UniProt		F
UniProtKB	A0A1D6LTV0	TPS26	enables	GO:0003824	GO:0010333	terpene synthase activity	ECO:0000314	IDA	PMID:18218975		4577	UniProt		F
UniProtKB	A0A1D6N272	GRMZM2G124911	enables	GO:0005215	GO:0090422	thiamine pyrophosphate transmembrane transporter activity	ECO:0000314	IDA	PMID:22426856		4577	UniProt		F
UniProtKB	A0A291LSD6	TPS21	enables	GO:0003824	GO:0010333	terpene synthase activity	ECO:0000314	IDA	PMID:28931629		4577	UniProt		F
UniProtKB	A1XCI1	LOX6	enables	GO:0003824	GO:0016832	aldehyde-lyase activity	ECO:0000314	IDA	PMID:17922288		4577	AgBase		F
UniProtKB	A1XCI1	LOX6	NOT|enables	GO:0003824	GO:0016165	linoleate 13S-lipoxygenase activity	ECO:0000314	IDA	PMID:17922288		4577	AgBase		F
UniProtKB	A1XCI5	LOX10	enables	GO:0003824	GO:0016165	linoleate 13S-lipoxygenase activity	ECO:0000314	IDA	PMID:17005920		4577	AgBase		F
UniProtKB	A2SZW8	PER1	enables	GO:0003824	GO:0004601	peroxidase activity	ECO:0000315	IMP	PMID:18944174		4577	AgBase		F
UniProtKB	A5HEG9	GRF10	enables	GO:0005515	GO:0005515	protein binding	ECO:0000353	IPI	PMID:29437990	UniProtKB:A5HEH4	4577	UniProt		F
UniProtKB	A5HEG9	GRF10	enables	GO:0005515	GO:0005515	protein binding	ECO:0000353	IPI	PMID:24854713	UniProtKB:A5HEH4	4577	UniProt		F
UniProtKB	A5HEH4	GIF1	enables	GO:0005515	GO:0005515	protein binding	ECO:0000353	IPI	PMID:29437990	UniProtKB:A5HEG9	4577	UniProt		F
UniProtKB	A5HEH4	GIF1	enables	GO:0005515	GO:0005515	protein binding	ECO:0000353	IPI	PMID:24854713	UniProtKB:A0A060D764	4577	UniProt		F
UniProtKB	A5HEH4	GIF1	enables	GO:0005515	GO:0005515	protein binding	ECO:0000353	IPI	PMID:24854713	UniProtKB:A5HEG9	4577	UniProt		F
UniProtKB	A6MW92	bif2	enables	GO:0005515	GO:0005515	protein binding	ECO:0000353	IPI	PMID:18466309	UniProtKB:Q5MP56	4577	IntAct	occurs_in(GO:0005634)	F
UniProtKB	A6YRS1	rif1	enables	GO:0005515	GO:0005515	protein binding	ECO:0000353	IPI	PMID:17940002	UniProtKB:P13526	4577	IntAct		F
UniProtKB	A6YSL1	RNC1	enables	GO:0003723	GO:0003725	double-stranded RNA binding	ECO:0000314	IDA	PMID:17693527		4577	UniProt		F
UniProtKB	A6YSL1	RNC1	enables	GO:0003723	GO:0003727	single-stranded RNA binding	ECO:0000314	IDA	PMID:17693527		4577	UniProt		F
UniProtKB	A6YSL1	RNC1	enables	GO:0005515	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19251672	UniProtKB:B6TTV8	4577	UniProt		F
UniProtKB	A6YSL1	RNC1	enables	GO:0005515	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19251672	UniProtKB:B6TTV8	4577	IntAct		F
UniProtKB	A7LN87	PPR5	enables	GO:0003723	GO:0003727	single-stranded RNA binding	ECO:0000314	IDA	PMID:18669444		4577	UniProt		F
UniProtKB	A7UDM2	CFM2	enables	GO:0005515	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19251672	UniProtKB:Q84N48	4577	IntAct		F
UniProtKB	B0KZ40	PSY3	enables	GO:0016740	GO:0016767	geranylgeranyl-diphosphate geranylgeranyltransferase activity	ECO:0000314	IDA	PMID:18162592		4577	UniProt		F
UniProtKB	B0KZ40	PSY3	enables	GO:0016787	GO:0046905	15-cis-phytoene synthase activity	ECO:0000314	IDA	PMID:18162592		4577	UniProt		F
UniProtKB	B1P758	FDX5	enables	GO:0005515	GO:0005515	protein binding	ECO:0000353	IPI	PMID:18632977	UniProtKB:Q8JNK2	4577	AgBase		F
UniProtKB	B2C4D0	TPS23	enables	GO:0003824	GO:0010333	terpene synthase activity	ECO:0000314	IDA	PMID:28428873		4577	UniProt		F
UniProtKB	B2C4D0	TPS23	enables	GO:0003824	GO:0010333	terpene synthase activity	ECO:0000314	IDA	PMID:18296628		4577	UniProt		F
UniProtKB	B2LXS7	WHY1	enables	GO:0003677	GO:0003677	DNA binding	ECO:0000314	IDA	PMID:18676978		4577	UniProt		F
UniProtKB	B2LXS7	WHY1	enables	GO:0003723	GO:0003723	RNA binding	ECO:0000314	IDA	PMID:18676978		4577	UniProt		F
UniProtKB	B4F8I5	COAC2	enables	GO:0005215	GO:0015228	coenzyme A transmembrane transporter activity	ECO:0000316	IGI	PMID:23590975	UniProtKB:P38702	4577	UniProt		F
UniProtKB	B4F8Z1	ATP4	enables	GO:0003723	GO:0003729	mRNA binding	ECO:0000314	IDA	PMID:22708543		4577	UniProt		F
UniProtKB	B4F9A4	DMAS1	enables	GO:0003824	GO:0033707	3''-deamino-3''-oxonicotianamine reductase activity	ECO:0000314	IDA	PMID:16926158		4577	UniProt		F
