GOID,ONTOLOGY,TERM,LINK
GO:0006644,biological_process,phospholipid metabolic process,http://purl.obolibrary.org/obo/GO_0006644
GO:0006631,biological_process,fatty acid metabolic process,http://purl.obolibrary.org/obo/GO_0006631
GO:0006629,biological_process,lipid metabolic process,http://purl.obolibrary.org/obo/GO_0006629
GO:0043648,biological_process,dicarboxylic acid metabolic process,http://purl.obolibrary.org/obo/GO_0043648
GO:0016053,biological_process,organic acid biosynthetic process,http://purl.obolibrary.org/obo/GO_0016053
GO:0016054,biological_process,organic acid catabolic process,http://purl.obolibrary.org/obo/GO_0016054
GO:0016042,biological_process,lipid catabolic process,http://purl.obolibrary.org/obo/GO_0016042
GO:0016043,biological_process,cellular component organization,http://purl.obolibrary.org/obo/GO_0016043
GO:0031667,biological_process,response to nutrient levels,http://purl.obolibrary.org/obo/GO_0031667
GO:0043604,biological_process,amide biosynthetic process,http://purl.obolibrary.org/obo/GO_0043604
GO:0043603,biological_process,amide metabolic process,http://purl.obolibrary.org/obo/GO_0043603
GO:0006721,biological_process,terpenoid metabolic process,http://purl.obolibrary.org/obo/GO_0006721
GO:0006720,biological_process,isoprenoid metabolic process,http://purl.obolibrary.org/obo/GO_0006720
GO:0006725,biological_process,cellular aromatic compound metabolic process,http://purl.obolibrary.org/obo/GO_0006725
GO:0006766,biological_process,vitamin metabolic process,http://purl.obolibrary.org/obo/GO_0006766
GO:0006772,biological_process,thiamine metabolic process,http://purl.obolibrary.org/obo/GO_0006772
GO:0006767,biological_process,water-soluble vitamin metabolic process,http://purl.obolibrary.org/obo/GO_0006767
GO:0006753,biological_process,nucleoside phosphate metabolic process,http://purl.obolibrary.org/obo/GO_0006753
GO:0016117,biological_process,carotenoid biosynthetic process,http://purl.obolibrary.org/obo/GO_0016117
GO:0016119,biological_process,carotene metabolic process,http://purl.obolibrary.org/obo/GO_0016119
GO:0016120,biological_process,carotene biosynthetic process,http://purl.obolibrary.org/obo/GO_0016120
GO:0016108,biological_process,tetraterpenoid metabolic process,http://purl.obolibrary.org/obo/GO_0016108
GO:0016109,biological_process,tetraterpenoid biosynthetic process,http://purl.obolibrary.org/obo/GO_0016109
GO:0016114,biological_process,terpenoid biosynthetic process,http://purl.obolibrary.org/obo/GO_0016114
GO:0016115,biological_process,terpenoid catabolic process,http://purl.obolibrary.org/obo/GO_0016115
GO:0016116,biological_process,carotenoid metabolic process,http://purl.obolibrary.org/obo/GO_0016116
GO:0006790,biological_process,sulfur compound metabolic process,http://purl.obolibrary.org/obo/GO_0006790
GO:0006793,biological_process,phosphorus metabolic process,http://purl.obolibrary.org/obo/GO_0006793
GO:0006796,biological_process,phosphate-containing compound metabolic process,http://purl.obolibrary.org/obo/GO_0006796
GO:0006518,biological_process,peptide metabolic process,http://purl.obolibrary.org/obo/GO_0006518
GO:0006581,biological_process,acetylcholine catabolic process,http://purl.obolibrary.org/obo/GO_0006581
GO:0043436,biological_process,oxoacid metabolic process,http://purl.obolibrary.org/obo/GO_0043436
GO:0090304,biological_process,nucleic acid metabolic process,http://purl.obolibrary.org/obo/GO_0090304
GO:0051321,biological_process,meiotic cell cycle,http://purl.obolibrary.org/obo/GO_0051321
GO:0110095,biological_process,cellular detoxification of aldehyde,http://purl.obolibrary.org/obo/GO_0110095
GO:0110096,biological_process,cellular response to aldehyde,http://purl.obolibrary.org/obo/GO_0110096
GO:0014070,biological_process,response to organic cyclic compound,http://purl.obolibrary.org/obo/GO_0014070
GO:0006810,biological_process,transport,http://purl.obolibrary.org/obo/GO_0006810
GO:0006807,biological_process,nitrogen compound metabolic process,http://purl.obolibrary.org/obo/GO_0006807
GO:0006970,biological_process,response to osmotic stress,http://purl.obolibrary.org/obo/GO_0006970
GO:0043933,biological_process,protein-containing complex organization,http://purl.obolibrary.org/obo/GO_0043933
GO:0006952,biological_process,defense response,http://purl.obolibrary.org/obo/GO_0006952
GO:0006950,biological_process,response to stress,http://purl.obolibrary.org/obo/GO_0006950
GO:0006979,biological_process,response to oxidative stress,http://purl.obolibrary.org/obo/GO_0006979
GO:0006996,biological_process,organelle organization,http://purl.obolibrary.org/obo/GO_0006996
GO:0016101,biological_process,diterpenoid metabolic process,http://purl.obolibrary.org/obo/GO_0016101
GO:0016102,biological_process,diterpenoid biosynthetic process,http://purl.obolibrary.org/obo/GO_0016102
GO:0065007,biological_process,biological regulation,http://purl.obolibrary.org/obo/GO_0065007
GO:0065003,biological_process,protein-containing complex assembly,http://purl.obolibrary.org/obo/GO_0065003
GO:0016070,biological_process,RNA metabolic process,http://purl.obolibrary.org/obo/GO_0016070
GO:0016071,biological_process,mRNA metabolic process,http://purl.obolibrary.org/obo/GO_0016071
GO:0016072,biological_process,rRNA metabolic process,http://purl.obolibrary.org/obo/GO_0016072
GO:0043412,biological_process,macromolecule modification,http://purl.obolibrary.org/obo/GO_0043412
GO:0031425,biological_process,chloroplast RNA processing,http://purl.obolibrary.org/obo/GO_0031425
GO:0033993,biological_process,response to lipid,http://purl.obolibrary.org/obo/GO_0033993
GO:0006396,biological_process,RNA processing,http://purl.obolibrary.org/obo/GO_0006396
GO:0099402,biological_process,plant organ development,http://purl.obolibrary.org/obo/GO_0099402
GO:0051503,biological_process,adenine nucleotide transport,http://purl.obolibrary.org/obo/GO_0051503
GO:0051501,biological_process,diterpene phytoalexin metabolic process,http://purl.obolibrary.org/obo/GO_0051501
GO:0051502,biological_process,diterpene phytoalexin biosynthetic process,http://purl.obolibrary.org/obo/GO_0051502
GO:0050794,biological_process,regulation of cellular process,http://purl.obolibrary.org/obo/GO_0050794
GO:1905392,biological_process,plant organ morphogenesis,http://purl.obolibrary.org/obo/GO_1905392
GO:0090567,biological_process,reproductive shoot system development,http://purl.obolibrary.org/obo/GO_0090567
GO:0090698,biological_process,post-embryonic plant morphogenesis,http://purl.obolibrary.org/obo/GO_0090698
GO:0090696,biological_process,post-embryonic plant organ development,http://purl.obolibrary.org/obo/GO_0090696
GO:0090697,biological_process,post-embryonic plant organ morphogenesis,http://purl.obolibrary.org/obo/GO_0090697
GO:0051640,biological_process,organelle localization,http://purl.obolibrary.org/obo/GO_0051640
GO:0051641,biological_process,cellular localization,http://purl.obolibrary.org/obo/GO_0051641
GO:0051649,biological_process,establishment of localization in cell,http://purl.obolibrary.org/obo/GO_0051649
GO:0051647,biological_process,nucleus localization,http://purl.obolibrary.org/obo/GO_0051647
GO:0051656,biological_process,establishment of organelle localization,http://purl.obolibrary.org/obo/GO_0051656
GO:0000003,biological_process,reproduction,http://purl.obolibrary.org/obo/GO_0000003
GO:0051761,biological_process,sesquiterpene metabolic process,http://purl.obolibrary.org/obo/GO_0051761
GO:0051762,biological_process,sesquiterpene biosynthetic process,http://purl.obolibrary.org/obo/GO_0051762
GO:0098727,biological_process,maintenance of cell number,http://purl.obolibrary.org/obo/GO_0098727
GO:0050789,biological_process,regulation of biological process,http://purl.obolibrary.org/obo/GO_0050789
GO:1901264,biological_process,carbohydrate derivative transport,http://purl.obolibrary.org/obo/GO_1901264
GO:0098754,biological_process,detoxification,http://purl.obolibrary.org/obo/GO_0098754
GO:1901293,biological_process,nucleoside phosphate biosynthetic process,http://purl.obolibrary.org/obo/GO_1901293
GO:0001763,biological_process,morphogenesis of a branching structure,http://purl.obolibrary.org/obo/GO_0001763
GO:0098869,biological_process,cellular oxidant detoxification,http://purl.obolibrary.org/obo/GO_0098869
GO:0002213,biological_process,defense response to insect,http://purl.obolibrary.org/obo/GO_0002213
GO:0051259,biological_process,protein complex oligomerization,http://purl.obolibrary.org/obo/GO_0051259
GO:0051234,biological_process,establishment of localization,http://purl.obolibrary.org/obo/GO_0051234
GO:0051180,biological_process,vitamin transport,http://purl.obolibrary.org/obo/GO_0051180
GO:0051179,biological_process,localization,http://purl.obolibrary.org/obo/GO_0051179
GO:0036172,biological_process,thiamine salvage,http://purl.obolibrary.org/obo/GO_0036172
GO:0051707,biological_process,response to other organism,http://purl.obolibrary.org/obo/GO_0051707
GO:0051716,biological_process,cellular response to stimulus,http://purl.obolibrary.org/obo/GO_0051716
GO:0043170,biological_process,macromolecule metabolic process,http://purl.obolibrary.org/obo/GO_0043170
GO:0006364,biological_process,rRNA processing,http://purl.obolibrary.org/obo/GO_0006364
GO:0043207,biological_process,response to external biotic stimulus,http://purl.obolibrary.org/obo/GO_0043207
GO:0016553,biological_process,base conversion or substitution editing,http://purl.obolibrary.org/obo/GO_0016553
GO:0016554,biological_process,cytidine to uridine editing,http://purl.obolibrary.org/obo/GO_0016554
GO:0016556,biological_process,mRNA modification,http://purl.obolibrary.org/obo/GO_0016556
GO:0090407,biological_process,organophosphate biosynthetic process,http://purl.obolibrary.org/obo/GO_0090407
GO:0006862,biological_process,nucleotide transport,http://purl.obolibrary.org/obo/GO_0006862
GO:0045117,biological_process,azole transmembrane transport,http://purl.obolibrary.org/obo/GO_0045117
GO:0008300,biological_process,isoprenoid catabolic process,http://purl.obolibrary.org/obo/GO_0008300
GO:0008283,biological_process,cell population proliferation,http://purl.obolibrary.org/obo/GO_0008283
GO:0008291,biological_process,acetylcholine metabolic process,http://purl.obolibrary.org/obo/GO_0008291
GO:0008299,biological_process,isoprenoid biosynthetic process,http://purl.obolibrary.org/obo/GO_0008299
GO:1901701,biological_process,cellular response to oxygen-containing compound,http://purl.obolibrary.org/obo/GO_1901701
