GOID,ONTOLOGY,TERM,LINK
GO:0000002,BP,mitochondrial genome maintenance,http://purl.obolibrary.org/obo/GO_0000002
GO:0000009,MF,"alpha-1,6-mannosyltransferase activity",http://purl.obolibrary.org/obo/GO_0000009
GO:0000012,BP,single strand break repair,http://purl.obolibrary.org/obo/GO_0000012
GO:0000014,MF,single-stranded DNA endodeoxyribonuclease activity,http://purl.obolibrary.org/obo/GO_0000014
GO:0000015,CC,phosphopyruvate hydratase complex,http://purl.obolibrary.org/obo/GO_0000015
GO:0000018,BP,regulation of DNA recombination,http://purl.obolibrary.org/obo/GO_0000018
GO:0000019,BP,regulation of mitotic recombination,http://purl.obolibrary.org/obo/GO_0000019
GO:0000023,BP,maltose metabolic process,http://purl.obolibrary.org/obo/GO_0000023
GO:0000024,BP,maltose biosynthetic process,http://purl.obolibrary.org/obo/GO_0000024
GO:0000025,BP,maltose catabolic process,http://purl.obolibrary.org/obo/GO_0000025
GO:0000026,MF,"alpha-1,2-mannosyltransferase activity",http://purl.obolibrary.org/obo/GO_0000026
GO:0000027,BP,ribosomal large subunit assembly,http://purl.obolibrary.org/obo/GO_0000027
GO:0000028,BP,ribosomal small subunit assembly,http://purl.obolibrary.org/obo/GO_0000028
GO:0000030,MF,mannosyltransferase activity,http://purl.obolibrary.org/obo/GO_0000030
GO:0000033,MF,"alpha-1,3-mannosyltransferase activity",http://purl.obolibrary.org/obo/GO_0000033
GO:0000034,MF,adenine deaminase activity,http://purl.obolibrary.org/obo/GO_0000034
GO:0000035,MF,acyl binding,http://purl.obolibrary.org/obo/GO_0000035
GO:0000036,MF,acyl carrier activity,http://purl.obolibrary.org/obo/GO_0000036
GO:0000038,BP,very long-chain fatty acid metabolic process,http://purl.obolibrary.org/obo/GO_0000038
GO:0000041,BP,transition metal ion transport,http://purl.obolibrary.org/obo/GO_0000041
GO:0000045,BP,autophagosome assembly,http://purl.obolibrary.org/obo/GO_0000045
GO:0000049,MF,tRNA binding,http://purl.obolibrary.org/obo/GO_0000049
GO:0000050,BP,urea cycle,http://purl.obolibrary.org/obo/GO_0000050
GO:0000052,BP,citrulline metabolic process,http://purl.obolibrary.org/obo/GO_0000052
GO:0000053,BP,argininosuccinate metabolic process,http://purl.obolibrary.org/obo/GO_0000053
GO:0000054,BP,ribosomal subunit export from nucleus,http://purl.obolibrary.org/obo/GO_0000054
GO:0000055,BP,ribosomal large subunit export from nucleus,http://purl.obolibrary.org/obo/GO_0000055
GO:0000056,BP,ribosomal small subunit export from nucleus,http://purl.obolibrary.org/obo/GO_0000056
GO:0000062,MF,fatty-acyl-CoA binding,http://purl.obolibrary.org/obo/GO_0000062
GO:0000064,MF,L-ornithine transmembrane transporter activity,http://purl.obolibrary.org/obo/GO_0000064
GO:0000070,BP,mitotic sister chromatid segregation,http://purl.obolibrary.org/obo/GO_0000070
